data,linha,sigla,estacao,fluxo,ano
2023-12-17,1-AZUL,JAB,Jabaquara,38500,2023
2023-12-18,1-AZUL,JAB,Jabaquara,69000,2023
2023-12-19,1-AZUL,JAB,Jabaquara,67700,2023
2023-12-20,1-AZUL,JAB,Jabaquara,68200,2023
2023-12-21,1-AZUL,JAB,Jabaquara,66800,2023
2023-12-22,1-AZUL,JAB,Jabaquara,65500,2023
2023-12-23,1-AZUL,JAB,Jabaquara,43600,2023
2023-12-24,1-AZUL,JAB,Jabaquara,23400,2023
2023-12-25,1-AZUL,JAB,Jabaquara,31000,2023
2023-12-26,1-AZUL,JAB,Jabaquara,56600,2023
2023-12-27,1-AZUL,JAB,Jabaquara,54900,2023
2023-12-28,1-AZUL,JAB,Jabaquara,53100,2023
2023-12-29,1-AZUL,JAB,Jabaquara,49400,2023
2023-12-30,1-AZUL,JAB,Jabaquara,32200,2023
2023-12-31,1-AZUL,JAB,Jabaquara,22500,2023
2023-01-01,1-AZUL,CON,Conceição,4600,2023
2023-01-02,1-AZUL,CON,Conceição,13900,2023
2023-01-03,1-AZUL,CON,Conceição,17100,2023
2023-01-04,1-AZUL,CON,Conceição,17000,2023
2023-01-05,1-AZUL,CON,Conceição,18300,2023
2023-01-06,1-AZUL,CON,Conceição,18200,2023
2023-01-07,1-AZUL,CON,Conceição,11100,2023
2023-01-08,1-AZUL,CON,Conceição,6900,2023
2023-01-09,1-AZUL,CON,Conceição,22300,2023
2023-01-10,1-AZUL,CON,Conceição,21000,2023
2023-01-11,1-AZUL,CON,Conceição,20900,2023
2023-01-12,1-AZUL,CON,Conceição,21200,2023
2023-01-13,1-AZUL,CON,Conceição,20200,2023
2023-01-14,1-AZUL,CON,Conceição,11900,2023
2023-01-15,1-AZUL,CON,Conceição,7200,2023
2023-01-16,1-AZUL,CON,Conceição,20400,2023
2023-01-17,1-AZUL,CON,Conceição,21900,2023
2023-01-18,1-AZUL,CON,Conceição,22300,2023
2023-01-19,1-AZUL,CON,Conceição,22000,2023
2023-01-20,1-AZUL,CON,Conceição,20500,2023
2023-01-21,1-AZUL,CON,Conceição,12600,2023
2023-01-22,1-AZUL,CON,Conceição,8200,2023
2023-01-23,1-AZUL,CON,Conceição,20600,2023
2023-01-24,1-AZUL,CON,Conceição,22600,2023
2023-01-25,1-AZUL,CON,Conceição,9800,2023
2023-01-26,1-AZUL,CON,Conceição,22600,2023
2023-01-27,1-AZUL,CON,Conceição,21600,2023
2023-01-28,1-AZUL,CON,Conceição,12100,2023
2023-01-29,1-AZUL,CON,Conceição,7100,2023
2023-01-30,1-AZUL,CON,Conceição,21400,2023
2023-01-31,1-AZUL,CON,Conceição,22700,2023
2023-02-01,1-AZUL,CON,Conceição,23500,2023
2023-02-02,1-AZUL,CON,Conceição,23600,2023
2023-02-03,1-AZUL,CON,Conceição,22400,2023
2023-02-04,1-AZUL,CON,Conceição,13000,2023
2023-02-05,1-AZUL,CON,Conceição,7300,2023
2023-02-06,1-AZUL,CON,Conceição,23000,2023
2023-02-07,1-AZUL,CON,Conceição,24600,2023
2023-02-08,1-AZUL,CON,Conceição,24800,2023
2023-02-09,1-AZUL,CON,Conceição,25000,2023
2023-02-10,1-AZUL,CON,Conceição,23500,2023
2023-02-11,1-AZUL,CON,Conceição,13200,2023
2023-02-12,1-AZUL,CON,Conceição,8000,2023
2023-02-13,1-AZUL,CON,Conceição,23400,2023
2023-02-14,1-AZUL,CON,Conceição,24800,2023
2023-02-15,1-AZUL,CON,Conceição,24700,2023
2023-02-16,1-AZUL,CON,Conceição,25000,2023
2023-02-17,1-AZUL,CON,Conceição,22500,2023
2023-02-18,1-AZUL,CON,Conceição,11900,2023
2023-02-19,1-AZUL,CON,Conceição,6500,2023
2023-02-20,1-AZUL,CON,Conceição,11700,2023
2023-02-21,1-AZUL,CON,Conceição,8600,2023
2023-02-22,1-AZUL,CON,Conceição,17000,2023
2023-02-23,1-AZUL,CON,Conceição,23300,2023
2023-02-24,1-AZUL,CON,Conceição,22600,2023
2023-02-25,1-AZUL,CON,Conceição,12900,2023
2023-02-26,1-AZUL,CON,Conceição,7600,2023
2023-02-27,1-AZUL,CON,Conceição,24100,2023
2023-02-28,1-AZUL,CON,Conceição,25400,2023
2023-03-01,1-AZUL,CON,Conceição,25900,2023
2023-03-02,1-AZUL,CON,Conceição,25500,2023
2023-03-03,1-AZUL,CON,Conceição,23900,2023
2023-03-04,1-AZUL,CON,Conceição,13500,2023
2023-03-05,1-AZUL,CON,Conceição,7600,2023
2023-03-06,1-AZUL,CON,Conceição,24900,2023
2023-03-07,1-AZUL,CON,Conceição,26100,2023
2023-03-08,1-AZUL,CON,Conceição,26600,2023
2023-03-09,1-AZUL,CON,Conceição,26000,2023
2023-03-10,1-AZUL,CON,Conceição,23900,2023
2023-03-11,1-AZUL,CON,Conceição,13600,2023
2023-03-12,1-AZUL,CON,Conceição,7700,2023
2023-03-13,1-AZUL,CON,Conceição,25200,2023
2023-03-14,1-AZUL,CON,Conceição,26400,2023
2023-03-15,1-AZUL,CON,Conceição,26300,2023
2023-03-16,1-AZUL,CON,Conceição,26600,2023
2023-03-17,1-AZUL,CON,Conceição,24700,2023
2023-03-18,1-AZUL,CON,Conceição,14000,2023
2023-03-19,1-AZUL,CON,Conceição,8100,2023
2023-03-20,1-AZUL,CON,Conceição,25100,2023
2023-03-21,1-AZUL,CON,Conceição,26200,2023
2023-03-22,1-AZUL,CON,Conceição,26300,2023
2023-03-24,1-AZUL,CON,Conceição,8000,2023
2023-03-25,1-AZUL,CON,Conceição,13600,2023
2023-03-26,1-AZUL,CON,Conceição,7800,2023
2023-03-27,1-AZUL,CON,Conceição,24900,2023
2023-03-28,1-AZUL,CON,Conceição,26200,2023
2023-03-29,1-AZUL,CON,Conceição,26600,2023
2023-03-30,1-AZUL,CON,Conceição,26600,2023
2023-03-31,1-AZUL,CON,Conceição,24200,2023
2023-04-01,1-AZUL,CON,Conceição,10900,2023
2023-04-02,1-AZUL,CON,Conceição,7500,2023
2023-04-03,1-AZUL,CON,Conceição,25500,2023
2023-04-04,1-AZUL,CON,Conceição,26900,2023
2023-04-05,1-AZUL,CON,Conceição,27300,2023
2023-04-06,1-AZUL,CON,Conceição,26500,2023
