data,linha,sigla,estacao,fluxo
2025-05-07,1-AZUL,CON,Conceição,32100
2025-05-08,1-AZUL,CON,Conceição,31800
2025-05-09,1-AZUL,CON,Conceição,26900
2025-05-10,1-AZUL,CON,Conceição,13300
2025-05-11,1-AZUL,CON,Conceição,7200
2025-05-12,1-AZUL,CON,Conceição,29400
2025-05-13,1-AZUL,CON,Conceição,31600
2025-05-14,1-AZUL,CON,Conceição,31900
2025-05-15,1-AZUL,CON,Conceição,31300
2025-05-16,1-AZUL,CON,Conceição,26100
2025-05-17,1-AZUL,CON,Conceição,13800
2025-05-18,1-AZUL,CON,Conceição,6400
2025-05-19,1-AZUL,CON,Conceição,29700
2025-05-20,1-AZUL,CON,Conceição,32100
2025-05-21,1-AZUL,CON,Conceição,32000
2025-05-22,1-AZUL,CON,Conceição,31800
2025-05-23,1-AZUL,CON,Conceição,26100
2025-05-24,1-AZUL,CON,Conceição,13000
2025-05-25,1-AZUL,CON,Conceição,8600
2025-05-26,1-AZUL,CON,Conceição,29500
2025-05-27,1-AZUL,CON,Conceição,32100
